"filename", "language", "YAML", "TOML", "Docker", "Rust", "JSON", "JavaScript", "Properties", "HTML", "SurrealQL", "comment", "blank", "total"
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/terminal/chart.rs", "Rust", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 13, 117
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/terminal/mod.rs", "Rust", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 7, 43
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/toolbox/mod.rs", "Rust", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 12, 50
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/toolbox/storage_api.rs", "Rust", 0, 0, 0, 302, 0, 0, 0, 0, 0, 8, 49, 359
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/charts.rs", "Rust", 0, 0, 0, 84, 0, 0, 0, 0, 0, 10, 14, 108
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/display.rs", "Rust", 0, 0, 0, 167, 0, 0, 0, 0, 0, 2, 19, 188
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/mod.rs", "Rust", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 12, 60
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/websockets.rs", "Rust", 0, 0, 0, 435, 0, 0, 0, 0, 0, 30, 59, 524
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/chat.rs", "Rust", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 8, 78
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/conv.rs", "Rust", 0, 0, 0, 70, 0, 0, 0, 0, 0, 14, 16, 100
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/gpts.rs", "Rust", 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 7, 18
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/mod.rs", "Rust", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 6, 17
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/model.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/oa_client.rs", "Rust", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tool_call.rs", "Rust", 0, 0, 0, 157, 0, 0, 0, 0, 0, 22, 29, 208
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/ai_tools.rs", "Rust", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/mod.rs", "Rust", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 8, 27
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/spec.rs", "Rust", 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 12, 66
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/tools/weather.rs", "Rust", 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 8, 53
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/utils/mod.rs", "Rust", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 4, 9
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ai/utils/x_value.rs", "Rust", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/highlighter.rs", "Rust", 0, 0, 0, 164, 0, 0, 0, 0, 0, 10, 19, 193
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/markdown_editor.rs", "Rust", 0, 0, 0, 256, 0, 0, 0, 0, 0, 28, 49, 333
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/mod.rs", "Rust", 0, 0, 0, 237, 0, 0, 0, 0, 0, 6, 40, 283
