Date : 2024-07-13 17:34:50
Directory : /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0
Total : 100 files,  20661 codes, 1826 comments, 2885 blanks, all 25372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/assets/sw.js                                            | JavaScript |         21 |          2 |          3 |         26 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/index.html                                              | HTML       |        106 |         10 |         24 |        140 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/app_state.rs                                        | Rust       |        431 |         38 |         55 |        524 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/dummy_worker.rs                                     | Rust       |          5 |          0 |          0 |          5 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/lib.rs                                              | Rust       |          1 |          0 |          0 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/main.rs                                             | Rust       |        334 |         39 |         36 |        409 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/downloads_page.rs                             | Rust       |         59 |          3 |         12 |         74 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/login_page.rs                                 | Rust       |        173 |          4 |         22 |        199 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/main_page.rs                                  | Rust       |         28 |          1 |          2 |         31 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/menu_bar.rs                                   | Rust       |        114 |          9 |         11 |        134 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/mod.rs                                        | Rust       |          6 |          0 |          0 |          6 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/signup_page.rs                                | Rust       |        158 |          7 |         30 |        195 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/pages/webconsole_page.rs                            | Rust       |          0 |          0 |          1 |          1 |
